mouse,group,slope,normalized_slope,first_bin,last_bin
499-1,stress,-0.4727272727272727,-0.015249266862170088,31,5
499-3,stress,-0.2545454545454545,-0.015909090909090907,16,2
498-1,stress,-0.04,-0.01,4,2
500-1,stress,-0.4,-0.016666666666666666,24,2
501-1,stress,-0.6,-0.015,40,7
500-3,stress,-0.9090909090909091,-0.015408320493066256,59,9
500-2,stress,-0.26,-0.018571428571428572,14,1
498-3,stress,0.12727272727272726,0.12727272727272726,1,8
501-2,stress,-0.21818181818181817,-0.015584415584415584,14,2
499-2,stress,-0.14545454545454545,-0.0042780748663101605,34,26
498-2,stress,-0.2909090909090909,-0.012121212121212121,24,8
579-1,stress,-0.2571428571428571,-0.02571428571428571,10,1
579.1-1,stress,-0.6,-0.010714285714285714,56,23
578-1,stress,0.05714285714285714,0.019047619047619046,3,5
578-2,stress,0.07272727272727272,0.07272727272727272,1,5
646-0,stress,0.025,0.008333333333333333,3,4
648-R,stress,0.36363636363636365,0.06060606060606061,6,26
646-L,stress,-0.2545454545454545,-0.01414141414141414,18,4
648-L,stress,0.12727272727272726,0.06363636363636363,2,9
644-R,stress,0.38181818181818183,0.015272727272727273,25,46
647-L,stress,0.14545454545454545,0.007272727272727273,20,28
648-0,stress,0.03636363636363636,0.012121212121212121,3,5
723-R,stress,-0.175,-0.019444444444444445,9,2
723-RL,stress,-0.09090909090909091,-0.011363636363636364,8,3
723-L,stress,0.03636363636363636,0.004545454545454545,8,10
723-0,stress,0.21818181818181817,0.02727272727272727,8,20
725-0,stress,-0.4,-0.01904761904761905,21,1
725-L,stress,0.0,0.0,6,6
819-R,stress,0.21818181818181817,0.010909090909090908,20,32
820-0,stress,-0.2545454545454545,-0.01497326203208556,17,3
819-L,stress,-1.1454545454545455,-0.013800657174151151,83,20
820-R,stress,0.0,0.0,2,2
489-2,naive,-0.56,-0.018666666666666668,30,2
491-2,naive,-1.6,-0.047058823529411764,34,2
489-3,naive,-1.1428571428571428,-0.027874564459930314,41,1
491-1,naive,-0.4,-0.017391304347826087,23,3
493-1,naive,0.21818181818181817,0.00507399577167019,43,55
493-2,naive,-0.75,-0.046875,16,1
489-1,naive,-0.09090909090909091,-0.006993006993006993,13,8
489-4,naive,-0.5333333333333333,-0.041025641025641026,13,5
579-2,naive,-0.3,-0.06,5,2
579.1-2,naive,-0.10909090909090909,-0.013636363636363636,8,2
578.1-1,naive,0.26666666666666666,0.13333333333333333,2,6
580.1-1,naive,0.01818181818181818,0.00909090909090909,2,3
578.1-2,naive,0.0,0.0,1,1
645-0,naive,0.0,0.0,2,2
649-R,naive,-0.18,-0.013846153846153845,13,4
645-R,naive,0.06666666666666667,0.06666666666666667,1,3
649-0,naive,-0.05,-0.016666666666666666,3,2
647-0,naive,0.12727272727272726,0.04242424242424242,3,10
644-0,naive,-0.32,-0.035555555555555556,9,1
645-L,naive,-0.10909090909090909,-0.012121212121212121,9,3
649-L,naive,0.0,0.0,2,2
722-L,naive,-0.18181818181818182,-0.012987012987012988,14,4
722-RL,naive,0.0,0.0,1,1
728-R,naive,-0.01818181818181818,-0.004545454545454545,4,3
728-L,naive,-0.32,-0.018823529411764708,17,1
728-0,naive,-0.16363636363636364,-0.016363636363636365,10,1
728-RL,naive,-0.18181818181818182,-0.01652892561983471,11,1
822-R,naive,-0.04,-0.01,4,2
822-0,naive,-0.1,-0.014285714285714287,7,2
822-L,naive,-0.23636363636363636,-0.011818181818181818,20,7
821-0,naive,-0.4,-0.13333333333333333,3,1
821-R,naive,0.2,0.022222222222222223,9,20
